Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2017-02-08,1062.32,1078.97,1037.49,1063.07,201855000,17156700000,1052.3766125,16152087.5,16925772491.3,63366305.5174,101666.069387,0.961128719178,0,2111.75342466,13.0333333333,3063987.05558,422170566883,2002536.9,157.14493504,0.773743113537,6.73688578416,516490,308316,194881380,302557,209157,1959826.10629,256176.100357,268446935.564
2017-02-07,1040.14,1061.93,1040.14,1061.35,146007000,16796600000,1050.11,16150262.5,16965850756.2,40471212.3532,101525.744594,0.945680754967,0,2154.09271523,23.875,3168918.11913,422170566883,2077363.75,170.75671139,0.81571073712,6.6474374218,557390,325268,194573064,320854,224817,2038903.52208,252326.789109,265069291.959
2017-02-06,1028.4,1044.64,1028.16,1038.15,111762000,16605400000,1024.01375,16148375,16511713437.5,27544311.1141,101382.9468,0.97920132,0,1840.216,18.2833333333,2623276.58868,422170566883,1694793.75,154.93020175,0.803080174765,7.63420112113,440409,230027,194247796,225330,151760,1679402.41656,213855.385267,218667131.436
2017-02-05,1043.52,1043.63,1022.37,1027.34,114208000,16847400000,1014.837725,16146812.5,16350262337.5,32909742.4906,101260.546635,0.957944603774,0,1837.11320755,16.675,3336807.8208,422170566883,2069248.1,136.17869567,1.13563006576,7.36196400298,510277,292101,194017769,286914,199580,1800248.44229,187004.444467,189360700.467
2017-02-04,1031.33,1045.9,1015.16,1042.9,155064000,16648800000,1030.9994125,16144825,16666302847.5,43595760.4769,101108.233443,0.952473055172,1,1974.66206897,21.35,3043000.84287,393567551403,1935046.35,139.35303348,0.91647805179,7.03707622242,500098,286326,193725668,281343,195848,2125684.60324,212973.243567,219852279.335
2017-02-03,1011.46,1033.87,1008.79,1029.91,201278000,16326100000,1013.027,16143025,16352884325,54515239.4869,100970.12485,0.970819201342,0,2171.56375839,16.4666666667,2910612.14912,392963262344,1970791.5,162.42120704,0.766202642543,6.339554222,560374,323563,193439342,318987,214257,2438292.66081,264280.112676,267715754.141
2017-02-02,990,1013.52,983.22,1011.8,145821000,15977800000,1007.6137125,16141162.5,16260607102.5,49171054.9127,100825.472789,0.913956592357,0,1653.24203822,15.35,3066886.62693,392963262344,2047540.5,142.30055361,1.01901763831,8.16914873962,452585,259559,193115779,254199,171605,1851685.66568,206551.925548,208080409.798
2017-02-01,970.94,989.11,970.74,989.02,150110000,15667900000,979.703875,16139200,15815286256,35717457.4339,100681.981604,0.962289427083,0,1825.83333333,13.475,3750587.46733,392963262344,2400828.5,154.9165724,0.942268278538,7.14182849382,599052,350560,192856220,344621,231385,2078948.61655,271145.344759,265703457.69
2017-01-31,920.96,972.02,920.96,970.4,164582000,14859700000,964.706075,16136800,15554584256,50109300.3575,100497.222034,0.959546324138,0,2121.95172414,23.925,2832474.91022,392963262344,1817471.16,145.66158893,0.859703939715,6.13459670765,523036,307683,192505660,302946,213057,1791768.77982,227771.619795,219553619.753
2017-01-30,920.15,923.05,919.47,920.38,78227300,14844900000,921.179325,16134987.5,14820631418.2,14680425.2805,100358.087817,0.955701965753,2,1718.00684932,10.4333333333,2852009.21995,392963262344,1736959.14,137.40589477,1.21847516822,7.18636326175,449341,250829,192197977,246218,163899,1478650.01857,161054.237785,147934759.575
2017-01-29,922.07,923.42,919.15,919.5,60851700,14874000000,915.933,16133187.5,14735246803.1,8485259.81217,100218.55533,0.862491646707,0,1446.86826347,13.025,3262229.72419,392963262344,1944065.475,119.8377983,1.53901664494,8.34373632946,438727,241627,191947148,237157,170909,1375857.61441,143425.20632,130997412.192
2017-01-28,919.81,923.91,919.81,921.59,68979600,14835800000,920.31225,16131100,14818028460,12103240.4581,100074.519225,0.877465684211,0,1621.01973684,16.925,2969215.0783,392963262344,1787595.6,122.5350693,1.67446360643,7.54033448186,461291,246395,191705521,242288,180418,1249362.25323,120787.042581,110954977.315
2017-01-27,918.36,923.22,915.85,919.75,125594000,14810400000,919.27975,16129200,14801282964,24900535.1567,99941.144441,0.837679805882,0,1549.01176471,10.225,3320832.65336,392963262344,1976661.18,114.04371837,1.18807408784,7.80271007335,462950,263332,191459126,260698,179074,1800256.17838,188459.940443,172944033.546
2017-01-26,902.39,919.33,902.22,917.59,131958000,14551200000,915.95625,16127075,14770949263.2,26226846.7075,99798.738874,0.993201216561,2,2024.86624204,10.2166666667,3066886.62693,392963262344,1834109.775,125.18892663,0.829827475908,6.01481945741,518118,317904,191195794,313554,222117,2132882.68827,251581.080073,230425627.05
2017-01-25,891.92,903.25,891.69,901.54,120831000,14380700000,893.045625,16125137.5,14391685218.8,29651242.1492,99642.806283,0.987908926667,1,2039.74,12.5666666667,2930146.45885,392963262344,1721632.5,135.6068154,0.660323299877,5.86501738047,514638,305961,190877890,302881,220010,1938599.44572,304488.243225,271755757.078
2017-01-24,910.68,924.14,892.29,892.69,111349000,14681400000,890.320225,16123275,14334397638.8,43906538.8674,99494.619944,0.973657704698,0,1866.95973154,24.275,2910612.14912,392963262344,1723423.425,143.1652105,0.76136012345,6.41007939332,497858,278177,190571929,275603,192356,1956073.13571,263431.869982,234204104.007
2017-01-23,925.5,928.27,916.74,921.01,73588600,14918800000,922.0736125,16121412.5,14863942325,24607895.5301,99349.544946,0.909334100719,1,1702.82014388,14.475,2715269.05187,392963262344,1639777,110.16262179,0.85863957068,7.19730678388,426712,236692,190293752,234193,158453,1530243.9159,215184.890713,198400469.238
2017-01-22,922.21,937.52,897.56,924.67,116573000,14863600000,918.603625,16119687.5,14797873125,41096750.8557,99223.147506,0.674559781609,0,1361.4137931,9.975,3398969.89226,339477557142,2002158,87.1148655,0.98429059623,8.76633252505,428797,236886,190057060,233672,163626,1135726.93182,229821.850799,210976459.034
2017-01-21,895.55,927.37,895.53,921.79,111158000,14432000000,920.4479,16117512.5,14894193301.2,31572727.7097,99105.774104,0.693088834254,0,1456.14364641,9.925,3031276.95604,336899932795,2095396.75,94.58963263,1.05704449747,8.26441797191,484668,263562,189820174,260542,182888,1533463.23287,222988.685743,206063844.495
2017-01-20,898.17,899.4,887.01,895.03,86728400,14472100000,893.6210875,16115250,14465048400,27016866.7628,98980.325025,0.722272793651,0,1578.71428571,10.9,3165256.04802,336899932795,2134044,104.84963495,0.961206802678,7.42246564692,516009,298377,189556612,295214,198629,2588414.22285,256692.901889,230407548.736
2017-01-19,888.34,904.61,884.34,899.07,105625000,14311700000,895.798875,16112887.5,14500148590.1,43734448.3377,98843.815467,0.834368741379,0,1727.61494253,10.025,2914045.25056,336899932795,1969902.99,112.3957332,0.877781716498,6.84769146975,516338,300605,189258235,296740,202899,2603895.11021,260588.218028,234505943.286
2017-01-18,909.37,917.5,858.3,886.62,225677000,14648900000,874.9949625,16110712.5,14128772648.2,51289482.2488,98698.635306,0.894532337748,1,1978.48344371,12.425,2528855.36111,336899932795,1672839.35,108.62581158,0.675432853006,5.85960353016,500305,298751,188957630,295079,201646,1939717.75127,295532.827978,259176379.48
2017-01-17,830.95,910.56,830.8,907.94,155095000,13383900000,903.84575,16108837.5,14562228011.6,66791560.4066,98563.560923,0.900242,0,1852.51265823,15.15,2646087.0666,336899932795,1808883.99,109.39305302,0.64494930195,6.43761458436,502461,292697,188658879,288284,192960,2310740.48936,323187.11668,292157921.608
2017-01-16,821.78,834.53,820.27,831.53,82755200,13234600000,830.505125,16106862.5,13370306561.2,22109924.9063,98421.322687,0.75833479881700006,0,1583.66863905,12.6,2830308.31807,336899932795,1769358.15,103.64270285,0.888538713469,6.87348698863,473646,267640,188366182,264758,178460,2087940.54586,249414.310177,207038818.878
2017-01-15,818.14,823.31,812.87,821.8,71013600,13174300000,822.2076,16104750,13217812515,15757955.9717,98293.164106,0.677067658683,0,1413.16766467,7,2796813.54507,336899932795,1716577.71,82.22432059,1.11974647003,7.54570798555,417278,235999,188098542,232132,167553,1725125.55521,193769.248545,159034173.051
2017-01-14,825.14,835.09,812.46,818.41,93063300,13285200000,817.912875,16102662.5,13128500736.2,27475928.3064,98180.093807,0.742766639535,0,1408.54069767,6.83333333333,2880550.47756,336899932795,1759417.4,86.85666196,1.17918612826,7.52762110091,446468,242269,187862543,238971,172353,1500321.7196,189694.960647,154658301.416
2017-01-13,803.74,829,780,823.98,168968000,12939100000,826.2956625,16100512.5,13333156411.5,55509952.1156,98052.337945,0.841531470199,1,1822.17880795,8.98333333333,2528855.36111,336899932795,1577154.54,97.90853957,0.639843317073,5.97551333928,466560,275149,187620274,271629,179515,2386792.84946,310296.050079,256962364.991
2017-01-12,775.18,826.25,755.76,804.83,222326000,12477600000,803.372375,16098637.5,12943143563.6,76636270.256,97925.266693,0.802814323699,1,1721.13294798,8.5,2897297.86406,336899932795,1750688.225,106.35637276,0.574768205377,6.12628405518,483077,297756,187345125,294259,189880,3589294.90458,394742.846166,317369300.889
2017-01-11,908.12,919.45,762.76,777.76,310929000,14615700000,785.2237375,16096487.5,12637835230.9,131253668.408,97786.379815,0.923016352941,0,1980.77124183,15.275,2562350.13411,336899932795,1522759.635,111.82087465,0.408260694594,5.24439232198,491692,303058,187047369,299020,198078,3980330.05363,495840.25635,389299060.468
2017-01-10,902.44,914.87,901.06,907.68,115808000,14522600000,906.056914286,16094575,14668273763.5,31485218.7143,97645.158313,0.9597204875,0,2024.3,10.7166666667,2679581.83959,319489481520,1842810.36,119.94087094,0.679689577108,5.96524635355,541167,323888,186744311,320848,213386,2359325.55048,311898.393375,284257957.754
2017-01-09,913.24,913.69,879.81,902.83,141877000,14694900000,894.18025,16092575,14483317500,41076985.1655,97491.603035,0.923003161765,0,1984.90441176,10.7166666667,2147763.14141,317688400354,1548900,102.04592665,0.605686334901,6.00799910347,475571,269947,186420423,267011,174250,2095379.05522,297521.311414,267769180.272
2017-01-08,908.17,942.72,887.25,911.2,158715000,14611400000,908.1490375,16090875,14753884196.2,55303632.4843,97366.074605,0.810419437126,0,1557.49101796,6.63333333333,2637326.79865,317688400354,1915883.445,91.2413482,0.944654826342,7.6805153751,455738,260101,186150476,256862,176421,1679995.29933,230638.883902,211475099.039
2017-01-07,903.49,908.59,823.56,908.59,279550000,14534400000,896.830375,16088787.5,14507903240.2,97175659.2799,97230.734559,0.987336633094,1,2048.3381295,10.4333333333,2195140.26953,317688400354,1583004.57,107.1366432,0.536127911368,5.84219053396,503340,284719,185890375,280726,187066,2162212.68056,344066.519218,310258543.04
2017-01-06,1014.24,1046.81,883.94,902.2,351876000,16314100000,883.099175,16087062.5,14246702550,134165115.238,97093.494767,0.984330583851,0,2151.58385093,11.4833333333,2542572.54241,317688400354,1805295.6,127.77072194,0.442388465552,5.4716985937,562749,346405,185605656,342362,233379,3100652.30632,483798.943372,428452344.251
2017-01-05,1156.73,1191.1,910.42,1013.38,510199000,18604000000,994.674875,16085050,16020709800,208498259.793,96935.017543,0.984196892857,0,2060.72142857,10.9166666667,2210932.64557,317688400354,1773876,114.99194252,0.354100511989,6.43856338366,495909,288501,185259251,284086,193322,2998215.11155,526684.339439,524577602.081
2017-01-04,1044.4,1159.42,1044.4,1154.73,344946000,16795400000,1126.7633375,16083300,18278670450,143134274.57,96797.229978,0.986141097403,1,2143.92207792,10.7,2432025.91013,317688400354,2308231.5,195.73590001,0.548795241615,7.30005800257,545635,330164,184970750,284086,215669,2503952.37923,386434.819254,439183172.082
2017-01-03,1021.6,1044.08,1021.6,1043.84,185168000,16426600000,1023.141875,16081387.5,16604032593.8,41550985.5157,96645.364249,0.906573518293,0,1839.41463415,12.35,2589949.67053,317688400354,2141405,117.50869676,0.656891694783,7.41869341189,515023,301664,184640586,326689,200407,1950525.35497,329964.393518,340688236.307
2017-01-02,998.62,1031.39,996.7,1021.75,222185000,16055100000,1015.9771125,16079337.5,16441122593.8,57597031.9814,96496.686192,0.94521121875,1,1835.5125,9.81666666667,2526780.16637,317688400354,2060337.5,113.9071518,0.7598193292,7.35989969666,529708,293682,184338922,297650,202393,1600838.41441,278211.815699,284471581.552
2017-01-01,963.66,1003.08,958.7,998.33,147775000,15491200000,997.729875,16077350,16144874870,33991911.059,96345.452397,0.698539769231,0,1157.06410256,10.85,2463610.66221,317688400354,1961202.6,65.07949883,1.18518599585,11.2106393986,355324,180502,184045240,290282,123002,1084340.88488,170022.216419,170736309.728
2016-12-31,960.63,963.74,947.24,963.74,99135100,15440700000,959.879875,16075400,15485593574,20372836.6699,96236.480193,0.803915554054,0,1691.03378378,12.275,2337271.65389,317688400354,1785013.43,82.32831226,0.896620360151,7.43760288358,449831,250273,183864738,176753,174427,1379308.87091,215512.428464,207605277.463
2016-12-30,972.53,972.53,934.83,961.24,187474000,15630200000,952.156375,16073550,15333684493.5,55218054.0176,96117.500691,0.871707828025,0,1826.86624204,8.5,2479403.03825,317688400354,1880751.855,100.318724,0.622321738601,6.86103096087,496024,286818,183614465,247437,192400,2207636.6787,331471.423228,316213793.617
2016-12-29,975.13,979.4,954.5,973.5,199320000,15670000000,963.381625,16071587.5,15554725246,49469080.7609,95980.642562,0.94039782,0,2030.7,14.55,2368856.40597,317688400354,1831153.28,107.23074067,0.620373372103,6.29826233992,512156,304605,183327647,283433,209027,1781841.82844,319522.215138,309246380.699
2016-12-28,934.83,975.92,934.83,975.92,236630000,15020500000,967.480375,16069712.5,15706536997.5,58947752.6219,95839.582889,0.868480195122,0,1862.15853659,7.66666666667,2589949.67053,312083434211,2011489.2,104.35263976,0.644591083512,6.89491041115,514772,305394,183023042,301119,206054,2063689.69192,334220.049713,326666676.589
2016-12-27,908.35,940.05,904.25,933.2,167308000,14593300000,930.376,16067662.5,15007357451.6,36349743.3696,95697.152137,0.876639070513,0,1900.93589744,13.025,2405181.75981,310153855703,1828791.58,99.53217417,0.593601270384,6.45526679165,509115,296546,182717648,301503,199187,2242009.72892,345270.853758,322486430.118
2016-12-26,896.9,913.18,896.9,907.61,123771000,14407800000,897.335375,16065712.5,14514728615.2,30528384.4926,95560.396442,0.85586328169,0,1724.74647887,13.55,2189332.1147,310153855703,1610869.18,87.97239373,0.689956353073,6.87229410666,448557,244914,182421102,292846,172836,1513037.04038,270013.079151,243946016.49
2016-12-25,899.65,899.65,862.42,896.18,143665000,14450100000,886.900375,16063937.5,14372404881.2,31411463.3442,95438.863856,0.647507083832,2,1195.29341317,10.3,2574777.90954,310153855703,1867686.25,62.62071481,0.924506427567,9.63716474566,353857,199614,182176188,241536,148365,1105164.79607,232569.579907,208080003.143
2016-12-24,922.18,923.48,886.34,898.82,137727000,14810300000,891.6126125,16061875,14365259143.8,36632649.4525,95330.730173,0.85488950365,0,1757.81021898,16.325,2112242.95573,310153855703,1540552.325,83.58322018,0.801870252053,6.67038846289,420206,240820,181976574,195740,177864,1526634.41658,223986.762894,200327041.129
2016-12-23,864.89,925.12,864.68,921.98,275564000,13888600000,901.3182375,16060162.5,14503611550.5,71128607.5418,95213.610311,0.887989592105,0,2006.55921053,12.775,2343510.43264,310153855703,1720367.4,100.48771495,0.464112249135,5.92333841191,522516,304997,181735754,237189,205183,2633796.22255,431035.319296,389259376.149
2016-12-22,834.18,875.78,834.15,864.54,200027000,13393800000,860.599875,16058262.5,13815565559.2,54177733.5753,95078.635893,0.919836194969,0,1978.89308176,8.58333333333,2451435.25519,310153855703,1717668.81,106.17675284,0.544028223606,5.72479963876,528878,314644,181430757,300356,216607,2459189.60193,384847.083661,331099339.957
2016-12-21,800.64,834.28,799.4,834.28,155576000,12853700000,824.2189375,16056275,13266978907,44854043.0263,94932.381938,0.96396563522,0,2048.28301887,8.78333333333,2451435.25519,310153855703,1659583.38,114.92502583,0.540999354675,5.33409405743,540310,325677,181116113,310432,227280,2851534.34417,388618.767779,321107915.441
2016-12-20,792.25,801.34,791.5,800.88,99629300,12717600000,793.0901375,16054287.5,12756094676,19671152.5655,94779.111402,0.970379615942,0,2148.35507246,10.7166666667,2127660.78753,310153855703,1380945.28,101.92528818,0.592460059464,4.89623593709,508908,296473,180790436,321356,207795,1939201.33163,308362.607571,245012593.472
2016-12-19,790.69,793.61,790.32,792.71,74886400,12691100000,789.524125,16052562.5,12697576937.5,15301931.7389,94645.199015,0.915327776316,1,1874.02631579,13.85,2343510.43264,310153855703,1511601,104.70908587,0.714653022927,5.56683782077,508681,284852,180493963,292493,194881,1851507.45398,280515.022193,221887382.555
2016-12-18,791.01,794.74,788.03,790.53,60524400,12694800000,788.40575,16050675,12685169466,10243644.9346,94506.069193,0.861416375887,0,1672.26241135,9.83333333333,2173914.28291,310153855703,1398471.24,80.81959375,0.934870320877,6.1784576097,418498,235789,180209111,281182,177716,1411672.89554,197173.827491,155830419.343
2016-12-17,785.17,792.51,784.86,790.83,78989800,12599600000,788.7055,16048912.5,12694529298.4,17068492.2553,94384.609484,0.814087737931,1,1648.51034483,15.1,2235585.61008,310153855703,1439997.295,81.66348442,0.812810746651,6.26799691484,458680,239034,179973322,232272,178464,1323237.11192,233038.686093,184331270.313
2016-12-16,778.96,785.03,778.96,784.91,83608200,12498800000,781.568375,16047112.5,12573714999.4,17973313.8851,94266.566762,0.966616796992,0,2100.45864662,17.025,2050571.62856,310153855703,1317539.325,97.57905572,0.57277154967,4.93665881819,495266,279361,179734288,235086,207424,1883877.69281,307291.634288,240778360.047
